Device Time, 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(kpa),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),DPF Pressure(bar),DPF Temperature(°C),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Exhaust Pressure(bar),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel pressure(kpa),Fuel Rail Pressure(kpa),Fuel Rail Pressure (relative to manifold vacuum)(kpa),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Intake Air Temperature(°C),Intake Manifold Pressure(kpa),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor1 wide-range Voltage,O2 Sensor2 Equivalence Ratio,O2 Sensor2 wide-range Voltage,O2 Sensor3 Equivalence Ratio,O2 Sensor3 wide-range Voltage,O2 Sensor4 Equivalence Ratio,O2 Sensor4 wide-range Voltage,O2 Sensor5 Equivalence Ratio,O2 Sensor5 wide-range Voltage,O2 Sensor6 Equivalence Ratio,O2 Sensor6 wide-range Voltage,O2 Sensor7 Equivalence Ratio,O2 Sensor7 wide-range Voltage,O2 Sensor8 Equivalence Ratio,O2 Sensor8 wide-range Voltage,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(bar),Turbo Pressure Control(bar),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
19-Apr-2019 11:52:31.971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.29933453,-0.05809539,0.44141918,0.44071329,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,26.68023682,300.8999939,57.04288864,24.11546516,20,-,-,-,-,-,-,16.99209785,-,5.88503695,-,-,39.96824265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,19.69199944,20,-,-,-,-,-,-,-,-,-,219.49699402,0,-0.001,0,-,-,-,-,-
19-Apr-2019 11:52:32.223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.0616885,-0.17491767,0.80701727,0.34492046,-,-,-,-,-,-,-,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,26.68023682,300.8999939,57.04288864,24.11546516,20,0.30800056,-,-,-,-,-,16.99209785,-,5.88503695,-,-,39.96824265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,19.69199944,20,-,-,-,-,-,-,-,-,0.00142222,219.49841309,0,0.25600001,0,-,-,-,-,-
19-Apr-2019 11:52:32.490,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.33831069,-0.28539532,0.64443415,1.03714836,-,-,-,-,-,-,-,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,24.95922852,301.70001221,57.04291534,24.11539078,20,0.30800056,-,-,-,-,-,16.99209785,-,5.88503695,-,-,39.96824265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,19.83600044,20,-,-,-,-,-,-,-,-,0.0029,219.49989319,0,0.625,0,-,-,-,-,-
19-Apr-2019 11:52:32.879,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.30378678,-0.26696813,0.74791551,0.93346483,-,-,-,-,-,-,-,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,24.95922852,301.70001221,57.04291534,24.11539078,20,0.30800056,-,-,29,-,-,16.99209785,-,5.88503695,-,-,39.96824265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,19.83600044,20,-,-,-,-,-,-,-,-,0.0029,219.49989319,1,1.06200004,0,-,-,-,-,-
19-Apr-2019 11:52:35.308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.06396163,0.27353671,0.55816054,0.59943116,-,-,-,-,-,-,-,20,19.66666603,19.66666603,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,-,28.23529434,-,-,-,1503.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.34375,-2.34375,-,-,-1.5625,-,-,-,-,-,-,-,3.21600008,26.05932617,304.1000061,57.04298401,24.11525536,21,0.94400024,-,-,29,28,-,16.99209785,-,5.88503695,-,-,39.96824265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.77999997,0.09999999,-,-,-,-,-,-,100,0,0,-,-,-,19.69199944,19,6.27450991,28,-,-,-,-,-,-,0.01068917,219.50767517,3,2.93799996,0,-0.73352927,-,-,-,-
19-Apr-2019 11:52:37.779,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00474125,-0.01729796,-0.35140011,0.84076262,-,-,-,-,-,-,-,20,19.25,19.25,-,-,-,-,-,-,-,-,-,-,194.98429871,194.98429871,-,-,-,-,-,-,-,-,85,-,21.17647171,-,-,-,1394.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.25,-2.34375,-,-,3.90625,-,-,-,-,-,-,-,3.21600008,26.22747803,305.5,57.0430603,24.11503792,21,1.47599983,-,-,30,24,13.56490421,14.14871979,7.37181187,7.06763029,-,38.31893921,39.96813202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.09999999,-,-,-,-,-,-,100,0,0,-,-,-,17.7840004,18,4.70588255,26,-,-,-,13.56490421,7.37181187,38.31893921,0.02313042,219.52012634,5,5.65399981,0,-0.77352929,-,-,-,-
19-Apr-2019 11:52:40.263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02209689,-0.03519476,-0.35534623,0.85731864,-,-,-,-,-,-,-,20,18.20000076,18.20000076,-,-,-,-,-,-,-,-,-,-,204.49890137,214.01348877,1515.12683105,-,-,-,-,-,-,-,85,-,29.01960754,-,-,-,820.25,-,-,-,-,-,-,-,-,-,-,-,0.0002204,-,-,-,-,-,-,-,43.52090836,-,3.90625,3.90625,-,-,5.46875,-,-,-,-,-,-,0.0009932,3.21600008,28.07775879,311.20001221,57.04310989,24.11493683,20,2.45199966,-,-,32,27,12.35876846,14.14860153,8.09125233,7.06768942,-,34.91177368,39.96780014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.83999997,0.09999999,-,-,-,-,-,-,100,0,0,-,-,-,14.25599957,14,4.31372547,14,-,-,-,12.96183586,7.71479607,36.61535645,0.03425042,219.53125,8,7.88199997,0,-0.74352932,-,-,-,-
19-Apr-2019 11:52:42.283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03597908,0.00214494,-0.30018905,0.89116174,-,-,-,-,-,-,-,20,16,16,-,-,-,-,-,-,-,-,-,0.0165992,197.86929321,184.61010742,1515.10571289,-,-,-,-,-,-,-,85,-,30.19607925,-,-,-,843.75,-,-,-,-,-,-,-,-,-,-,-,0.00035327,0.97714639,16.28577232,-,-,-,-,-,43.52066422,-,0,-0.78125,-,-,0.78125,-,-,-,-,-,-,0.00159198,3.21600008,26.48876953,324.1000061,57.04312134,24.11492538,20,3.49599934,-,-,32,31,14.32718563,14.14861298,6.9795928,7.0676837,-,40.47227478,39.96783447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.79999995,0.09999999,-,-,-,-,-,-,90.51937103,0,9.48062611,-,-,-,3.45599985,5,4.31372547,11,-,-,-,13.41695213,7.45310211,37.90099716,0.03956514,219.53656006,9,9.70400047,0,-0.7035293,-,-,-,-
19-Apr-2019 11:52:44.366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01239777,0.00279667,-0.29205415,0.86899221,-,-,-,-,-,-,-,20,16,13.71428585,-,-,-,-,-,-,-,-,0.03956549,0.01968423,197.86929321,-,1515.09875488,-,-,-,-,-,-,-,85,-,31.37254906,-,-,-,800.75,-,-,-,-,-,-,-,-,-,-,-,0.00048393,1.03756523,17.29275513,-,-,-,-,-,43.52042389,-,-3.125,-3.125,-,-,-2.34375,-,-,-,-,-,-,0.0021808,3.21600008,26.65563965,0,57.04311371,24.11493111,18,0,-,-,33,32,4.81889009,14.1479969,20.75123405,7.06799126,-,13.61268425,39.96609497,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63999999,0.09999999,-,-,-,-,-,-,74.44068146,0,25.55932236,-,-,-,0,0,3.52941179,11,-,-,-,11.26743698,8.8749485,31.82891846,0.03956514,219.53656006,11,10.86999989,0.93000001,-0.69352931,-,-,-,-
19-Apr-2019 11:52:46.453,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00839559,-0.00062062,-0.29689464,0.86333817,-,-,-,-,-,-,-,20,16,12,-,-,-,-,-,-,-,-,∞,0.02480025,197.86929321,-,1515.02478027,-,-,-,-,-,-,-,86,-,30.98039246,-,-,-,746,-,-,-,-,-,-,-,-,-,-,-,0.0006097,0.98147154,16.35785866,-,-,-,-,-,43.52019501,-,-2.34375,-2.34375,-,-,-1.5625,-,-,-,-,-,-,0.0027476,3.21600008,27.14019775,0,57.04311371,24.1149292,17,0,-,-,33,32,0,14.14795303,-,7.06801367,-,0,39.96596909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.69999999,0.08,-,-,-,-,-,-,63.24429321,0,36.75570679,-,-,-,0,0,3.52941179,13,-,-,-,11.16012764,8.96028423,31.52578545,0.03956514,219.53656006,13,10.86999989,3.01900005,-0.69352931,-,-,-,-
