Device Time, 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(kpa),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),DPF Pressure(bar),DPF Temperature(°C),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Exhaust Pressure(bar),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel pressure(kpa),Fuel Rail Pressure(kpa),Fuel Rail Pressure (relative to manifold vacuum)(kpa),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Intake Air Temperature(°C),Intake Manifold Pressure(kpa),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor1 wide-range Voltage,O2 Sensor2 Equivalence Ratio,O2 Sensor2 wide-range Voltage,O2 Sensor3 Equivalence Ratio,O2 Sensor3 wide-range Voltage,O2 Sensor4 Equivalence Ratio,O2 Sensor4 wide-range Voltage,O2 Sensor5 Equivalence Ratio,O2 Sensor5 wide-range Voltage,O2 Sensor6 Equivalence Ratio,O2 Sensor6 wide-range Voltage,O2 Sensor7 Equivalence Ratio,O2 Sensor7 wide-range Voltage,O2 Sensor8 Equivalence Ratio,O2 Sensor8 wide-range Voltage,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(bar),Turbo Pressure Control(bar),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
18-Apr-2019 16:19:36.090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01078068,-0.00838844,0.52269047,0.76469892,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,29.88195801,0,56.96926117,24.12770462,18,-,-,-,-,-,-,17.07474899,-,5.85655022,-,-,40.16265106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,211.5713501,0,0,0,-,-,-,-,-
18-Apr-2019 16:19:36.338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.16388005,-0.10601202,0.62556052,0.87525743,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,29.88195801,0,56.96926117,24.12770462,18,0,-,-,-,-,-,17.07474899,-,5.85655022,-,-,40.16265106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,211.5713501,0,0,0,-,-,-,-,-
18-Apr-2019 16:19:36.784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.0986532,-0.02766958,0.50389779,0.64645338,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,29.90008545,0,56.96926117,24.12770462,17,0,-,-,-,-,-,17.07474899,-,5.85655022,-,-,40.16265106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,211.5713501,0,0,0,-,-,-,-,-
18-Apr-2019 16:19:39.343,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02368096,0.06238838,-0.36457926,0.85414714,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,48.62745285,-,-,-,1375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,3.21600008,29.86480713,0,56.96926117,24.12770462,17,0,-,-,15,50,-,17.07474899,-,5.85655022,-,-,40.16265106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.4117651,-7,-,-,-,-,-,-,-,211.5713501,0,0,0,-0.5135293,-,-,-,-
18-Apr-2019 16:19:41.892,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.00566755,-0.02998873,-0.33089951,0.83681804,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,48.62745285,-,-,-,1390.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3.125,-3.125,-,-,-1.5625,-,-,-,-,-,-,-,3.21600008,28.40100098,0,56.96926117,24.12765312,17,0.82800001,-,-,15,50,0,14.2175312,-,7.03342342,-,0,40.16251755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.83999997,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.4117651,-6,-,-,-,-,-,-,-,211.5713501,0,0,0,-0.5135293,-,-,-,-
18-Apr-2019 16:19:44.452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02573477,-0.02352124,-0.32870322,0.87098622,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1533.48242188,-,-,-,-,-,-,-,22,-,54.11764908,-,-,-,1320.25,-,-,-,-,-,-,-,-,-,-,-,0.0004892,-,-,-,-,-,-,-,43.83496857,-,-5.46875,-5.46875,-,-,-5.46875,-,-,-,-,-,-,0.00220454,3.21600008,27.70697021,0,56.96926498,24.12763023,17,0,-,-,15,55,0,14.21748447,-,7.03344679,-,0,40.16238403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.4117651,-4,-,-,-,-,-,-,-,211.5713501,0,0,0,-0.46352932,-,-,-,-
18-Apr-2019 16:19:46.481,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03777656,-0.02205603,-0.32443202,0.88514066,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1533.45056152,-,-,-,-,-,-,-,23,-,51.76470566,-,-,-,1394.5,-,-,-,-,-,-,-,-,-,-,-,0.00090607,2.90132499,48.35541534,-,-,-,-,-,43.83420563,-,-3.125,-3.125,-,-,-4.6875,-,-,-,-,-,-,0.00408315,3.21600008,26.19897461,0,56.96925354,24.12761688,17,0,-,-,15,54,0,14.21743679,-,7.03347015,-,0,40.16225052,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.4117651,-7,-,-,-,-,-,-,-,211.5713501,0,0,0,-0.47352931,-,-,-,-
18-Apr-2019 16:19:48.550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.00896873,-0.03035426,-0.33199763,0.83291394,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1533.42272949,-,-,-,-,-,-,-,24,-,48.23529434,-,-,-,1378.75,-,-,-,-,-,-,-,-,-,-,-,0.00126162,2.89424396,48.23740005,-,-,-,-,-,43.83355331,-,-3.125,-2.34375,-,-,-2.34375,-,-,-,-,-,-,0.00568543,3.21600008,25.08203125,0,56.96924591,24.12760925,17,0,-,-,15,51,0,14.21739006,-,7.03349352,-,0,40.162117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.57999998,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.01960754,-6,-,-,-,-,-,-,-,211.5713501,0,0,0,-0.50352931,-,-,-,-
18-Apr-2019 16:19:50.616,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01276422,-0.03133107,-0.33224183,0.82876402,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1533.39355469,-,-,-,-,-,-,-,25,-,49.41176605,-,-,-,1351.5,-,-,-,-,-,-,-,-,-,-,-,0.00163786,2.91766405,48.62773514,-,-,-,-,-,43.83286667,-,-3.125,-3.125,-,-,-3.125,-,-,-,-,-,-,0.00738092,3.21600008,24.51196289,0,56.9692421,24.12761307,16,0,-,-,15,52,0,14.21734238,-,7.03351688,-,0,40.16198349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.01960754,-6,-,-,-,-,-,-,-,211.5713501,0,0,0,-0.49352929,-,-,-,-
18-Apr-2019 16:19:52.655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.00973042,-0.01351515,-0.33797827,0.83035058,-,-,-,-,-,-,-,41,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1533.36608887,-,-,-,-,-,-,-,26,-,49.80392075,-,-,-,1351.5,-,-,-,-,-,-,-,-,-,-,-,0.00198637,2.74999857,45.83330917,-,-,-,-,-,43.8322258,-,-3.90625,-3.90625,-,-,-3.125,-,-,-,-,-,-,0.00895147,3.21600008,24.36169434,0,56.9692421,24.12761116,16,0,-,-,16,50,0,14.21729469,-,7.03354073,-,0,40.16184998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.79999995,0.44,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.01960754,-7,-,-,-,-,-,-,-,211.5713501,0,0,0,-0.5135293,-,-,14.69999981,-
