Device Time, 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(kpa),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),DPF Pressure(bar),DPF Temperature(°C),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Exhaust Pressure(bar),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel pressure(kpa),Fuel Rail Pressure(kpa),Fuel Rail Pressure (relative to manifold vacuum)(kpa),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Intake Air Temperature(°C),Intake Manifold Pressure(kpa),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor1 wide-range Voltage,O2 Sensor2 Equivalence Ratio,O2 Sensor2 wide-range Voltage,O2 Sensor3 Equivalence Ratio,O2 Sensor3 wide-range Voltage,O2 Sensor4 Equivalence Ratio,O2 Sensor4 wide-range Voltage,O2 Sensor5 Equivalence Ratio,O2 Sensor5 wide-range Voltage,O2 Sensor6 Equivalence Ratio,O2 Sensor6 wide-range Voltage,O2 Sensor7 Equivalence Ratio,O2 Sensor7 wide-range Voltage,O2 Sensor8 Equivalence Ratio,O2 Sensor8 wide-range Voltage,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(bar),Turbo Pressure Control(bar),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
17-Apr-2019 17:33:38.540,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02112011,-0.05829915,0.58211887,0.68440437,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,-,0,-,-,-,-,-,-,-,-,-,17.20982742,-,5.81058264,-,-,40.4803772,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,188.38148499,0,0,0,-,-,-,-,-
17-Apr-2019 17:33:39.011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02112011,-0.05829915,0.58211887,0.68440437,-,-,-,-,-,-,-,90,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,-,0,-,-,-,0,-,-,-,-,-,17.20982742,-,5.81058264,-,-,40.4803772,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,188.38148499,0,0,0,-,-,-,-,-
17-Apr-2019 17:33:39.291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09253959,0.30461425,0.28217247,0.91015667,-,-,-,-,-,-,-,90,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,-,0,-,-,-,0,-,-,-,-,-,17.20982742,-,5.81058264,-,-,40.4803772,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,188.38148499,0,0,0,-,-,-,-,-
17-Apr-2019 17:33:41.769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.00514859,-0.00558245,-0.32577434,0.83962405,-,-,-,-,-,-,-,90,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,46.27450943,-,-,-,1371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,-,-,-,-,3.21600008,-,0,-,-,-,0,-,-,18,47,-,17.20982742,-,5.81058264,-,-,40.4803772,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.81999999,0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9.01960754,-6,-,-,-,-,-,-,-,188.38148499,0,0,0,-0.54352927,-,-,-,-
17-Apr-2019 17:33:44.239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00856762,-0.0007015,-0.33456099,0.85109538,-,-,-,-,-,-,-,90,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,48.23529434,-,-,-,1343.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.6875,-4.6875,-,-,-3.125,-,-,-,-,-,-,-,5.36000013,17.78875732,0,56.96981812,24.12221336,20,0,-,-,19,49,0,14.32999706,-,6.97822332,-,0,40.48021698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85999995,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.01960754,-6,-,-,-,-,-,-,-,188.38148499,0,0,0,-0.52352929,-,-,-,-
17-Apr-2019 17:33:46.751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01263806,0.00967168,-0.32638565,0.83144873,-,-,-,-,-,-,-,90,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1575.47436523,-,-,-,-,-,-,-,24,-,49.01960754,-,-,-,1351.5,-,-,-,-,-,-,-,-,-,-,-,0.00042822,-,-,-,-,-,-,-,44.68186951,-,-6.25,-6.25,-,-,-7.03125,-,-,-,-,-,-,0.00192977,3.21600008,19.19158936,0,56.9698143,24.12221909,18,0,-,-,18,52,0,14.3299408,-,6.9782505,-,0,40.48006058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.71999997,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9.4117651,-7,-,-,-,-,-,-,-,188.38148499,0,0,0,-0.49352929,-,-,-,-
17-Apr-2019 17:33:48.786,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03091002,-0.0109518,-0.28172296,0.89124262,-,-,-,-,-,-,-,90,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1575.4440918,-,-,-,-,-,-,-,25,-,49.01960754,-,-,-,1367,-,-,-,-,-,-,-,-,-,-,-,0.00080301,2.72166276,45.36104584,-,-,-,-,-,44.68118286,-,-6.25,-6.25,-,-,-5.46875,-,-,-,-,-,-,0.00361871,3.21600008,19.86590576,0,56.9698143,24.12221909,19,0,-,-,18,50,0,14.32988453,-,6.97827816,-,0,40.47990036,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.83999997,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,7.84313726,4,-,-,-,-,-,-,-,188.38148499,0,0,0,-0.5135293,-,-,-,-
17-Apr-2019 17:33:50.801,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01375644,0.08959911,-0.19581334,0.89026737,-,-,-,-,-,-,-,90,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1575.41589355,-,-,-,-,-,-,-,25,-,46.66666794,-,-,-,1242,-,-,-,-,-,-,-,-,-,-,-,0.00114158,2.69781923,44.96365356,-,-,-,-,-,44.68056107,-,-7.03125,-7.03125,-,-,-6.25,-,-,-,-,-,-,0.00514448,3.21600008,21.54321289,106.40000153,56.96981049,24.12223816,19,1.08000004,-,-,18,49,0,14.32982922,-,6.97830534,-,0,40.47974396,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.81999999,0.44,-,-,-,-,-,-,-,-,-,-,-,-,3.02399993,0,7.84313726,15,-,-,-,-,-,-,-,188.38148499,0,0,0,-0.52352929,-,-,-,-
17-Apr-2019 17:33:52.893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05107707,-0.06659738,-0.27781728,0.91113353,-,-,-,-,-,-,-,90,5,0.625,-,-,-,-,-,-,-,-,-,-,-,-,1575.38659668,-,-,-,-,-,-,-,26,0.77160496,50.19607925,-,-,-,1078,-,-,-,-,-,-,-,-,-,-,-,0.00150161,2.95135784,49.18929672,-,-,-,-,-,44.67990112,-,-8.59375,-8.59375,-,-,-8.59375,-,-,-,-,-,-,0.0067669,3.21600008,22.63671875,152.19999695,56.96978378,24.12226868,22,1.01199961,1.03473926,-,18,59,0,14.32977295,-,6.97833252,-,0,40.47958374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.44,-,-,-,-,-,-,0,0,100,-,-,-,9.1079998,5,7.45098066,16,6.83499622,-,-,-,-,-,-,188.38148499,1,0.99299997,0.22499999,-0.42352933,-,-,-,-
17-Apr-2019 17:33:54.945,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.007474,-0.16275574,-0.22461373,0.86817867,-,-,-,-,-,-,-,90,7,1.55555558,-,-,-,-,-,-,-,-,-,-,-,-,1575.35742188,-,-,-,-,-,-,-,27,1.04772377,58.03921509,-,-,-,1550.75,-,-,-,-,-,-,-,-,-,-,-,0.00185703,2.73531651,45.58860779,-,-,-,-,-,44.67925262,-,-6.25,-5.46875,-,-,-7.8125,-,-,-,-,-,-,0.00836858,3.21600008,22.59753418,168.8999939,56.96973038,24.12228775,14,0.72000027,1.40502071,-,18,63,1.8279103,14.32874298,54.70613861,6.97883415,-,5.16358852,40.47667694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.44,-,-,-,-,-,-,31.06082916,0,68.93917084,-,-,-,13.17599964,9,5.88235283,19,6.45159388,-,-,1.8279103,54.70613861,5.16358852,0.00412417,188.38560486,3,3.17799997,0.22499999,-0.38352931,-,-,-,-
