Device Time, 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(kpa),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),DPF Pressure(bar),DPF Temperature(°C),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Exhaust Pressure(bar),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel pressure(kpa),Fuel Rail Pressure(kpa),Fuel Rail Pressure (relative to manifold vacuum)(kpa),Fuel Rate (direct from ECU)(L/m),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(kpa),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(bar),Voltage (OBD Adapter)(V)
11-Apr-2019 20:29:12.237,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,0.00877694,-0.04414316,0.64996684,0.66975999,-,-,-,-,-,-,36.67952347,35.88695526,-,-,-,-,-,-,-,201.38253784,93.59990692,-,-,-,-,-,85,-,32.15686417,-,-,-,1625,-,-,-,-,-,-,-,-,-,-,-,1.76938164,29.4896946,-,-,-,-,-4.6875,-0.78125,-5.46875,-,-,0,-,-,-,-,-,-,0.34730238,-,-,-,-,50,-,13,83,28.2579689,14.17030239,3.53875113,7.05686569,-,79.82476807,40.02910233,0.06,0.22,95.0256424,0,4.97435999,50,10.1960783,28,14.01434422,15.75976181,6.34514141,44.51910019,6.10622931,73.40625,534,519.41101074,14.9090004,-0.73352927,14.80000019
11-Apr-2019 20:29:13.238,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,0.00877694,-0.04414316,0.64996684,0.66975999,-,-,-,-,-,-,36.79705811,36.00862122,-,-,-,-,-,-,-,201.38253784,93.59990692,-,-,-,-,-,86,-,52.94117737,-,-,-,1500,-,-,-,-,-,-,-,-,-,-,-,1.76938164,29.4896946,-,-,-,-,-4.6875,-0.78125,-5.46875,-,-,0,-,-,-,-,-,-,0.34730238,-,-,-,-,50,-,13,83,28.2579689,14.17030239,3.53875113,7.05686569,-,79.82476807,40.02910233,0.06,0.22,95.03456116,0,4.96543884,50,10.1960783,28,-,15.75976181,6.34514141,44.51910019,6.11759043,73.41761017,535,520.37097168,14.9090004,-0.73352927,14.80000019
11-Apr-2019 20:29:14.233,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,0.0249132,-0.06098383,0.66265762,0.67903507,-,-,-,-,-,-,36.79705811,36.00862122,-,-,-,-,-,-,-,201.38253784,93.59990692,-,-,-,-,-,86,-,52.94117737,-,-,-,1500,-,-,-,-,-,-,-,-,-,-,-,1.76938164,29.4896946,-,-,-,-,-4.6875,0,-0.78125,-,-,1.5625,-,-,-,-,-,-,0.34730238,-,-,-,-,50,-,13,83,28.2579689,14.17030239,3.53875113,7.05686569,-,79.82476807,40.02910233,0.71999997,0.22,95.04229736,0,4.95770502,50,9.01960754,26,-,15.75976181,6.34514141,44.51910019,6.11759043,73.41761017,536,521.20599365,14.9090004,-0.73352927,14.69999981
11-Apr-2019 20:29:15.231,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,0.09013666,0.00100636,0.676081,0.75469279,-,-,-,-,-,-,36.83577728,36.04870987,-,-,-,-,-,-,-,201.4197998,214.61515808,-,-,-,-,-,86,-,71.76470947,-,-,-,1515.5,-,-,-,-,-,-,-,-,-,-,-,1.76938164,29.4896946,-,-,-,-,-4.6875,0,-0.78125,-,-,3.125,-,-,-,-,-,-,0.34730238,-,-,-,-,50,-,11,66,12.32412148,14.16997719,8.11400032,7.05702782,-,34.81389999,40.02818298,0.71999997,0.22,95.05324554,0,4.94675255,50,11.76470566,20,-,15.74774933,6.34998178,44.48516464,6.13935423,73.43937683,537,522.39300537,14.9090004,-0.3535293,14.69999981
11-Apr-2019 20:29:16.233,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,0.11631552,-0.15787479,0.74612522,0.7146669,-,-,-,-,-,-,36.87134552,36.08571243,-,-,-,-,-,-,-,201.52314758,238.20985413,-,-,-,-,-,86,-,78.4313736,-,-,-,1531.25,-,-,-,-,-,-,-,-,-,-,-,0.25054669,4.17577839,-,-,-,-,-4.6875,0,0.78125,-,-,3.125,-,-,-,-,-,-,0.34905356,-,-,-,-,49,-,11,72,11.10341644,14.16943645,9.00605011,7.05729675,-,31.36558342,40.0266571,0.19999999,0.23999999,95.06173706,0,4.93826008,49,11.76470566,20,-,15.73156643,6.35651398,44.43945312,6.15853548,73.45855713,538,523.3170166,14.9090004,-0.29352927,14.80000019
11-Apr-2019 20:29:17.231,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,0.03412687,-0.02046948,0.65972871,0.69562995,-,-,-,-,-,-,36.87134552,36.08571243,-,-,-,-,-,-,-,201.52314758,238.20985413,-,-,-,-,-,86,-,78.4313736,-,-,-,1531.25,-,-,-,-,-,-,-,-,-,-,-,0.25054669,4.17577839,-,-,-,-,-4.6875,0,0.78125,-,-,4.6875,-,-,-,-,-,-,0.34905356,-,-,-,-,49,-,9,72,11.10341644,14.16943645,9.00605011,7.05729675,-,31.36558342,40.0266571,0.68000001,0.23999999,95.06954193,0,4.93045521,49,11.76470566,17,-,15.73156643,6.35651398,44.43945312,6.15853548,73.45855713,539,524.16900635,14.9090004,-0.29352927,14.80000019
11-Apr-2019 20:29:18.237,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,-0.04724433,-0.01583274,0.67339629,0.5733574,-,-,-,-,-,-,36.91545105,36.13105392,-,-,-,-,-,-,-,201.61299133,233.5973053,-,-,-,-,-,86,5.50893879,61.17647171,-,-,-,1585.75,-,-,-,-,-,-,-,-,-,-,-,4.32752943,72.12548828,-,-,-,-,-4.6875,0,0.78125,-,-,-0.78125,-,-,-,-,-,-,0.35117283,-,-,-,-,52,7.38760853,9,68,11.3226614,14.16893482,8.83166218,7.05754662,-,31.98491859,40.02524185,0.68000001,0.23999999,95.07984161,0,4.92016029,52,11.76470566,23,33.17380142,15.71625805,6.36270523,44.39620972,6.18304205,73.48306274,540,525.29699707,14.9090004,-0.33352932,14.80000019
11-Apr-2019 20:29:19.234,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,-0.09244927,0.04469378,0.6136024,0.56676865,-,-,-,-,-,-,36.96220779,36.17897797,-,-,-,-,-,-,-,201.71466064,238.01187134,-,-,-,-,-,86,2.30720377,61.17647171,-,-,-,1617,-,-,-,-,-,-,-,-,-,-,-,4.67926979,77.98782349,-,-,-,-,-4.6875,2.34375,1.5625,-,-,-0.78125,-,-,-,-,-,-,0.35300034,-,-,-,-,53,3.09401107,9,71,11.11265278,14.16839695,8.99856472,7.0578146,-,31.39167404,40.02371979,0.68000001,0.23999999,95.08955383,0,4.91044283,53,10.98039246,23,13.62504482,15.70032883,6.36916113,44.35121155,6.20370674,73.50373077,541,526.36602783,14.9090004,-0.30352935,14.80000019
11-Apr-2019 20:29:20.236,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,0.07346343,0.02516845,0.55771261,0.81643879,-,-,-,-,-,-,36.96220779,36.17897797,-,-,-,-,-,-,-,201.71466064,238.01187134,-,-,-,-,-,86,2.30720377,66.66666412,-,-,-,1617,-,-,-,-,-,-,-,-,-,-,-,4.67926979,77.98782349,-,-,-,-,-4.6875,-3.90625,-3.90625,-,-,0,-,-,-,-,-,-,0.35300034,-,-,-,-,53,3.09401107,9,71,11.11265278,14.16839695,8.99856472,7.0578146,-,31.39167404,40.02371979,0.69999999,0.22,95.097229,0,4.902771,53,3.52941179,29,13.62504482,15.70032883,6.36916113,44.35121155,6.20370674,73.50373077,542,527.2130127,14.9090004,-0.30352935,14.80000019
11-Apr-2019 20:29:21.238,-,-,-,13.41300011,-,37.83599854,22.79800034,-,-,-,-,-,-,-,-,-,-,0.13608028,0.06739065,0.55258745,0.88990033,-,-,-,-,-,-,37.01159286,36.22946167,-,-,-,-,-,-,-,201.35830688,73.7845993,-,-,-,-,-,86,2.29884958,32.54901886,-,-,-,1585.75,-,-,-,-,-,-,-,-,-,-,-,1.47848761,24.64146042,-,-,-,-,-4.6875,-3.90625,-3.90625,-,-,0,-,-,-,-,-,-,0.35359874,-,-,-,-,54,3.08280802,12,22,35.84682083,14.16864586,2.78958964,7.05769062,-,101.2621994,40.02442551,0.69999999,0.22,95.10645294,0,4.89354563,54,3.52941179,29,13.84324265,15.69993114,6.36932182,44.35009003,6.22524071,73.52526093,543,528.23498535,14.9090004,-0.79352933,14.80000019
